@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@pierrezidi,11:02 - 21 mars 2013,@carambar le changement c'est pour dans 3 jours... Quand on a voit le résultat d'un tel slogan on craint le pire. #carambar,
@umaj,11:01 - 21 mars 2013,C'EST LA FIN DE TOUT ! La blague #Carambar va disparaître le 15 avril http://www.metrofrance.com/conso/la-blague-carambar-va-disparaitre-le-15-avril/mmcu!PphZ637rE7qnc/ … via @MetroFrance #blaguea2balles #enfance,
@hE_LL_,11:00 - 21 mars 2013,Une page se tourne. #Carambar,
@AlisonTassin,11:00 - 21 mars 2013,Avec tout ça j'ai loupé l'info principale de la journee : Les blagues #Carambar vont disparaître  http://lci.tf1.fr/lci2009/insolite/les-blagues-carambar-vont-disparaitre-est-ce-bien-serieux-7889499.html …,
@KevinSuperSympa,11:00 - 21 mars 2013,Putain apparemment c'est bientôt la fin des blagues #carambar,
@ClaireGINISTY,10:59 - 21 mars 2013,Plus aucune blague #carambar après le 15 avril ! #coupdevieux,
@yannickvernay,10:59 - 21 mars 2013,De l'humour à l'éducation ! #Carambar abandonne ses histoires drôles pour des jeux ludo-éducatifs. RIP blagues à la con [1969 - 2013] !,
@yocassis,10:58 - 21 mars 2013,Les blagues #Carambar c'est fini. Elles seront remplacées par des exercices «ludo-éducatifs». #aucunsensdelhumour http://bit.ly/ZOw4W0 ,
@jeremyTWD01,10:56 - 21 mars 2013,Carambar arrête ces blaguel'inspiration de beaucoup de twittos va en prendre un coup #RIP #carambar,
@thomasplessis,10:56 - 21 mars 2013,+1 “@cyrilpaglino: #Carambar just made a fucking buzz.”,
@Najett2France,10:56 - 21 mars 2013,+1 c'est clair ... @cyrilpaglino: #Carambar just made a fucking buzz.,
@DamienSevely,10:56 - 21 mars 2013,Alors comme ça on pourra bientôt plus manger un #Carambar tout en se foutant de la gueule de l'auteur d'une vanne pourrie? Je suis triste.,
@g_barrot,10:55 - 21 mars 2013,#Carambar qui abandonne ses blagues... La blague.,
@robin_kalou,10:55 - 21 mars 2013,Qu'est ce qui est vert qui pousse au fond de l'eau et qui fait bzzzzzz ?Un chou-marin-ruche !(2/2)#Carambar#Hommage,
@fradeSaint,10:55 - 21 mars 2013,Les blagues #Carambar  c'est fini! Va falloir trouver un autre moyen pour draguer!,
@DouiebAdam,10:55 - 21 mars 2013,C'est la fin des blagues #carambar  annonce #kraftfoodspic.twitter.com/Iw8t840E2o,
@frankcotty,10:55 - 21 mars 2013,QUOI? Les blagues #Carambar c'est fini? Comment j'vais faire rire mes amis moi maint'nant? http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … … via @la_Parisienne_,
@enholio,10:55 - 21 mars 2013,apres les tatoos #malabar que va proposer #carambar pour remplacer les blagues ? des codes QR pour des jeux en ligne comme #kinder?,
@robin_kalou,10:54 - 21 mars 2013,Qu'est ce qui est vert et qui pousse au fond de l'eau ? Un chou-Marin(1/2)#Carambar#Hommage,
@c2Clair,10:54 - 21 mars 2013,Carambar remplace les blagues par des contenus éducatifs ! Tout se perd ! #Carambar http://fb.me/1qhK9jfhc ,
@paranoidgeeek,10:53 - 21 mars 2013,Heureusement j'ai l'appli Caramblague !  #Carambar pic.twitter.com/iUyaxD7gW8,
@babarMG,10:53 - 21 mars 2013,#Carambar va peut-être supprimer les blagues dans les emballages ... mais merde ou va-t'on ? Ce monde tourne à l'envers #triste,
@saldeuch,10:53 - 21 mars 2013,Nan mais sans blague... #carambar... Un pan de mon enfance s'écroule!!,
@Julien_Tabareau,10:53 - 21 mars 2013,Les blagues #Carambar c'est fini !  CERTAINEMENT UN POISSON D'AVRIL  tweet précédent,
@venuspsychic,10:53 - 21 mars 2013,@BrunoMasure #carambar a prit du temps pour enlever ses blagues que personne ne lit ..lol,
@Rom1_s,10:53 - 21 mars 2013,les blagues #Carambar c'est terminé le 15/04.. #ohnon - http://huff.to/ZfNrwg ,
@A_Datta_D,10:52 - 21 mars 2013,@NynyDou c'est vraiment LA breaking news du jour... Nos enfants ne pourront jamais charier une blague pourrie en citant #carambar..,
@florencesantrot,10:52 - 21 mars 2013,C'est officiel la blague Carambar disparaîtra le 15 avril prochain http://bit.ly/Z3c3Ma  #Blague #Carambar,
@Julien_Tabareau,10:51 - 21 mars 2013,Les blagues #Carambar c'est fini !  nase !!!,
@SebRemack,10:50 - 21 mars 2013,Les blagues Carambar ... C'est fini ! ... C'est ça la blague ! #Carambar,
@mturquetil,10:50 - 21 mars 2013,“@cyrilpaglino: #Carambar just made a fucking buzz.” La rumeur meilleur outil de com,
@AntoineSnts,10:50 - 21 mars 2013,Quoi! les blagues Carambar c'est fini ! #carambar http://www.ozap.com/actu/les-blagues-carambar-c-est-fini/446200 …,
@uppertweet_fr,10:50 - 21 mars 2013,La fin des blagues #Carambar annoncée pour le 15 avril 2013   http://bit.ly/102U5sb  (via @LeHuffPost),
@cbesle,10:49 - 21 mars 2013,La Pétition pour sauver les blagues #Carambar est lancée. Ouf ! @SignOffParis http://bit.ly/Yrmrhj ,
@Eowenn,10:48 - 21 mars 2013,GG RT @cyrilpaglino: #Carambar just made a fucking buzz.,
@chuiuncouillon,10:48 - 21 mars 2013,on ne dois plus dire: polémiquer sur la fin des blagues #Carambar mais on peut Paul et sa souris sur la fin des blagues Carambar,
@pierredron,10:48 - 21 mars 2013,@s_favereaux @caroline_vk @filip42 @mmu_man @lhirlimann merci pour vos #RT à la sauce #Carambar ! une petite blague ?,
@cyrilpaglino,10:48 - 21 mars 2013,#Carambar just made a fucking buzz.,
@j_guillaumeMM,10:47 - 21 mars 2013,Blagues #Carambar: la fin d'une histoire culte… et un exemple de buzz,
@lili88120,10:47 - 21 mars 2013,La fin d'une époque fini la blagounette qui fait rire personne RT  “@RTLFrance: #Carambar arrête ses blagues http://bit.ly/15wc2B1 ”,
@WildSmithee,10:47 - 21 mars 2013,Noooon #Carambar pas ça déjà qu'on a perdu #Groquick !,
@VincentCopie,10:46 - 21 mars 2013,Que va-t-on devenir sans les blagues #carambar ? http://www.20minutes.fr/societe/1123065-20130321-si-blagues-carambar-etait-termine …,
@EXCELNICO,10:46 - 21 mars 2013,Les blagues #Carambar c'est fini !  ==> Et ça ce n'est pas une blague ! Mais ne vous inquiétez pas : Je suis là pour vous faire rire :-),
@Wondercity,10:46 - 21 mars 2013,#Carambar arrête ses blagues ! Faites vite des réserves vos carambars vont devenir collectors ;),
@NathanDar,10:46 - 21 mars 2013,#Carambar qui arrête ses blagues pour de petits exercices de français... et le 1er Avril qui approche... Coïncidence ? Je ne pense pas =P,
@cecile_granat,10:45 - 21 mars 2013,Puisque @sciencespo arrête la culture générale #Carambar s'y methttp://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@cdecaux,10:45 - 21 mars 2013,Les blagues #carambar vont s'arrêter !!! Mais comment je vais éduquer mes petits enfants ?,
@WildSmithee,10:45 - 21 mars 2013,Tout se perd #Malabar a été remplacé par un con de chat voilà que c'est #Carambar qui s'y met :  http://couic.fr/x6 ,
@thibaudschmitt,10:44 - 21 mars 2013,Les blagues Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … #carambar,
@up2web,10:44 - 21 mars 2013,La fin des blagues #Carambar Découvrez pourquoi ici >>> http://bit.ly/WGHID9 ,
@glebourg,10:44 - 21 mars 2013,NOOOOooooooon !!! “@samuelcharron: «On a souvent été critiqué pour la qualité de nos blagues» http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … #carambar”,
@Matthieu_TUREL,10:43 - 21 mars 2013,@heloisebolle Une vis à un tournevis : tu me fais tourner la tête #carambar,
@GeekWorldTour,10:42 - 21 mars 2013,#Carambar arrête ses blagues et sous prétexte que je suis à l'autre bout du monde personne ne me le dit ??? #UnePageSeTourne,
@BatVLT,10:42 - 21 mars 2013,@thibjibe Pensons aux enfants sauvons ensemble les blagues #Carambar ! ;),
@guilangers,10:42 - 21 mars 2013,#Carambar serait sur le point d'arrêter ses célèbres blagues http://www.jeanmarcmorandini.com/article-302035-carambar-serait-sur-le-point-d-arreter-ses-celebres-blagues.html … via @morandiniblog,
@arnaud_touillon,10:41 - 21 mars 2013,Les blagues #Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … via @la_Parisienne_,
@samuelcharron,10:41 - 21 mars 2013,«On a souvent été critiqué pour la qualité de nos blagues alors on a pris un vrai virage» http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … #carambar,
@kevin_micheloff,10:41 - 21 mars 2013,#Carambar arrête les blagues. Elles n'auraient jamais du commencer,
@beanoor,10:40 - 21 mars 2013,Les blagues #Carambar c'est fini ? http://www.francetvinfo.fr/les-blagues-carambar-c-est-fini_286219.html … via @francetvinfo,
@Gaetan_Veyret,10:40 - 21 mars 2013,OMG mais que va t-il bien pouvoir se passer #carambar http://www.carambar.fr/ ,
@Supchadelic,10:40 - 21 mars 2013,C'est vrai quoi... quand t'as un concept qui cartonne et qui définit ton image depuis 50 ans autant l'abandonner... #Carambar,
@SarahDqr,10:40 - 21 mars 2013,Fini les heures passées à manger des Carambars rien que pour lire les blagues... #Carambar #Findesblagueshttp://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@Sleetag,10:39 - 21 mars 2013,Please  don't do that ;( pas de cours dans les #carambar http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@titouine,10:39 - 21 mars 2013,#Carambar perd le sens de l'humour http://www.lefigaro.fr/culture/2013/03/21/03004-20130321ARTFIG00607-carambar-perd-le-sens-de-l-humour.php … via @le_figaro,
@PeggyMauger,10:38 - 21 mars 2013,Aïe ! pffffff @edouard_dacosta t'es nul en blagues #Carambar #tweetprecedent,
@madotoutcourt,10:38 - 21 mars 2013,#Carambar arrête ses blagues. Comment vont faire les pédophiles pour faire rire les enfants et les monter dans leur camionette?,
@AlexandreRps,10:38 - 21 mars 2013,Qu'est-ce qui permet de se bouger tout en faisant un break ? Un car en barre #Carambar #Blagues #Adieu,
@YounMarechal,10:37 - 21 mars 2013,#Scoop : #Carambar serait sur le point d'abandonner les blagues #CestPasPlusMal,
@jc_roux,10:37 - 21 mars 2013,Ohh :-) Blagues #Carambar : chronique d'une mort annoncée http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html … via @LeNouvelObs,
@MyKubb,10:36 - 21 mars 2013,@Paingout Pourquoi la petite fille elle tombe de la balançoire ?Parce qu'elle a pas de bras.#Carambar,
@NastasiaPeteuil,10:36 - 21 mars 2013,Noooooon! Les blagues Carambar c'est fini! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … #carambar #bonbon,
@MatthieuZurfluh,10:36 - 21 mars 2013,Qu'est-ce qui est Petit carré et blanc ? #Carambar,
@lauratenoudji,10:36 - 21 mars 2013,La fin des blagues #carambar le 15 avril en magasin. Des infos éducatives les remplaceront.Faites vos réserves,
@KenziSlimane,10:35 - 21 mars 2013,Merci #carambar !http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@Torped00,10:35 - 21 mars 2013,Chez le dentiste: - Vous avez une dent morte. Je vous fais une couronne? - Non merci enterrez-la sans cérémonie.#Carambar #RIP ^^,
@fab_59,10:35 - 21 mars 2013,Les #blagues #Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@jonathannakache,10:35 - 21 mars 2013,OMG  elles vont me manquer tes bonnes blagues ... #CARAMBAR http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@Web2Poche,10:35 - 21 mars 2013,#Actu : La fin des blagues #carambar... #Snif #enfance #gourmandise http://www.bfmtv.com/societe/blagues-carambar-vivent-leurs-derniers-jours-475696.html …,
@hereisfab,10:34 - 21 mars 2013,Les blagues Carambar vont disparaître  Elles seront remplacées par des question éducative. Bande d'idiots ! #Carambar,
@JuulienCln,10:34 - 21 mars 2013,La fin des blagues #Carambar ! La fin d'un mythe!,
@Never_All,10:34 - 21 mars 2013,#Carambar serait sur le point d'abandonner ses blagues mdr la meilleure vanne faite depuis le début.,
@PapaTeabbag,10:34 - 21 mars 2013,J'en connais un qui va être dans la merde pour ses vidéos:le 15 avril il n'y aura plus de blague dans les #carambar :-D,
@Torped00,10:34 - 21 mars 2013,#Carambar Again: Charlotte demande à Nicolas : Pq il y a des trous au fond des pots de fleurs ? Pr prendre la température des plantes,
@TouteLinfo_Live,10:33 - 21 mars 2013,Les blagues #Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … via @la_Parisienne_,
@Derixed,10:33 - 21 mars 2013,La fin des blagues Carambar... Comment je vais trouver l'inspiration pour mes tweets moi ? :( #Carambar,
@Dkbl_,10:33 - 21 mars 2013,Les blagues #Carambar terminées il nous reste les tweets de @flogazan,
@nicohf75,10:33 - 21 mars 2013,La disparition des blagues #Carambar ça va être un sacre un sujet ce soir dans #TPMP,
@Nath_and_you,10:32 - 21 mars 2013,Les blagues #Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … via @la_Parisienne_,
@solenedille,10:31 - 21 mars 2013,#Carambar remplace ses blagues par des exercices ludo-éducatifs http://bit.ly/11ko3cr   via @s_favereaux,
@labullerose,10:31 - 21 mars 2013,Un #Carambar sans blague c'est comme une fraise sans tagada.,
@CNewsFake,10:31 - 21 mars 2013,#AlerteInfo : Fin des blagues #Carambar : la prochaine tournée de  Mickael Youn est annulée. Plus d'infos dans notre prochaine édition.,
@Coline_Letourmy,10:31 - 21 mars 2013,Blagues #Carambar : chronique d'une mort annoncée http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html … via @LeNouvelObs,
@ChopinIsabelle,10:30 - 21 mars 2013,Les blagues #Carambar c'est fini ??? leParisien http://iphone.leparisien.fr/serv/IPParisien/Q9gEmzqhydy0?com=newsiphiphfrXHT2659191&cid=3#.UUtDdVzFYJI.twitter …,
@jeremysoli,10:30 - 21 mars 2013,Les blagues Carambar c'est fini ! http://www.ozap.com/actu/les-blagues-carambar-c-est-fini/446200 … #Carambar,
@Matthieu_TUREL,10:29 - 21 mars 2013,@heloisebolle non ce n'est pas un canular. C'est en tout cas leur plus mauvaise blague #carambar,
@arnaudgris,10:29 - 21 mars 2013,Carambar arrête les blagues à compter du 15 avril. Que va devenir Laurent Ruquier ? #carambar,
@PeggyMauger,10:27 - 21 mars 2013,Allez un dernier pour la route : Que dit un oignon quand il se cogne ? #Carambar,
@lillibulleparis,10:26 - 21 mars 2013,Et comment ils vont faire pour faire rire les filles à présent.#Carambar http://fb.me/t3NHd4f9 ,
@PeggyMauger,10:26 - 21 mars 2013,Fin des blagues #Carambar remplacées par des jeux socio-éducatifs... Et cette fois c'est pas un fake #WTF http://carambar.fr/ ,
@abcligne13,10:26 - 21 mars 2013,Disparition des blagues #carambar : 15 conducteurs de la #ligne13 se suicident. Ils ne savaient plus quoi dire aux usagers bloqués...,
@ornikkar,10:26 - 21 mars 2013,Vos blagues sur #Carambar sont drôles !,
@Connotee,10:25 - 21 mars 2013,@afPRESQUE: Selon notre stagiaire people la fin des blagues #Carambar entrainerait celle des émissions animées par Laurent Ruquier. #ONPC,
@Mate_mathieu,10:25 - 21 mars 2013,Les blagues Carambar c'est finis :(((( #Carambar,
@baptlk,10:25 - 21 mars 2013,Aujourd'hui est un jour noir.. #Carambar arrête ses blagues. C'est la fin d'une ère.,
@c_delangle,10:25 - 21 mars 2013,#carambar,
@MaritsaBLK,10:25 - 21 mars 2013,Plus de blagues carambar?! Autant manger des apéricubes... #blagues #carambar,
@FleurTo,10:25 - 21 mars 2013,R.I.P. #Carambar remplace ses blagues par des exercices ludo-éducatifs http://bit.ly/11ko3cr  #Soupir...,
@_tensaihime,10:25 - 21 mars 2013,aura plus les blagues #carambar?!?! bon d'accord c'était débile et pas drôle mais c'était carambar quoi! du coup c'est sans intérêt!!!,
@great_zoltar,10:24 - 21 mars 2013,Fin des blagues #Carambar : mais où @Arthur_Officiel va trouver les siennes maintenant ?,
@mlinetti_,10:24 - 21 mars 2013,La fin des blagues #Carambar annoncée pour le 15 avril 2013 http://huff.to/14a6FLy  via @LeHuffPost,
@iabdes,10:24 - 21 mars 2013,Les blagues #Carambar se prennent trop au sérieux et seront remplacées par des jeux ludo-éducatifs dès le 15 Avril ! #findunmonde,
@Elise_Sqt,10:24 - 21 mars 2013,Suppression des blagues #carambar pour des jeux éducatifs ... où va le monde ?? #WTF #Beresina,
@FabMtre,10:24 - 21 mars 2013,Toto dit à sa maman. Dis maman t'as vu ? J'ai donné un sucre au chien il a remué la queue! Super donnes en 2 à ton père...#Carambar #Fini,
@alainagde,10:24 - 21 mars 2013,Les blagues #Carambar c'est fini ! http://www.midilibre.fr/2013/03/21/les-blagues-carambar-c-est-fini663851.php …,
@T_Filhol,10:23 - 21 mars 2013,Si #carambar arrête les blagues quelle raison aura-t-on de se défoncer les dents à l'avenir ?,
@moirom_1,10:22 - 21 mars 2013,@NolwennGuerinon T'étais une blague #carambar à toi toute seul !!,
@heloisebolle,10:22 - 21 mars 2013,@Matthieu_TUREL @la_parisienne_ QUOI? C'est un canular? #carambar,
@pierredron,10:22 - 21 mars 2013,#Carambar arrête les blagues...  mais heureusement il nous reste les archives de @Inafr_officiel http://www.ina.fr/video/PUB732924015 …,
@mandinette77,10:21 - 21 mars 2013,Alerte mythe en péril RT @MSouzeau: Et là c'est le drame... Les blagues #Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@ClementCapion,10:20 - 21 mars 2013,La fin des blagues #Carambar annoncée pour le 15 avril 2013 http://huff.to/14a6FLy ,
@killa_ee,10:18 - 21 mars 2013,J'espère qu'ils vont pas nous enlever le trivial dans les apericubes #carambar,
@CNUMP1,10:18 - 21 mars 2013,je suis un jeunepopkemon @MaxDps352013Si les blagues #carambar disparaissent comment #Hollande va t-il pouvoi... http://bit.ly/10nNGdf ,
@NolwennGuerinon,10:18 - 21 mars 2013,La fin des blagues #Carambar ? Ma vie n'a donc plus aucun sens...,
@fransixfransix,10:17 - 21 mars 2013,Fini de rigoler ! #carambar http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html …,
@bordet68,10:15 - 21 mars 2013,@Lebienpublic: Actualité | La fin des blagues #Carambar - Le Bien Public http://www.bienpublic.com/actualite/2013/03/21/la-fin-des-blagues-carambar … via @lebienpublic Snifffff @alix95fr :)))),
@Christel_Kymi,10:15 - 21 mars 2013,#Carambar arrête ses blagues je vais garder toutes celles que j'ai elles seront collector dans quelques années!,
@MatthieuFournel,10:14 - 21 mars 2013,Les blagues #Carambar remplacées par questions de culture gé... ou comment détruire sa marque:http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@Lebienpublic,10:14 - 21 mars 2013,Actualité | La fin des blagues #Carambar - Le Bien Public http://www.bienpublic.com/actualite/2013/03/21/la-fin-des-blagues-carambar … via @lebienpublic,
@Paingout,10:13 - 21 mars 2013,Personne jamais dans aucune ville n’a ne serait-ce qu’esquisser un sourire sur une blague #Carambar. Cessez de pleurer.,
@brainsto,10:12 - 21 mars 2013,Un #Carambar sans blague Carambar c'est comme un #Kinder Surprise sans surprise.,
@benjamin_psy,10:12 - 21 mars 2013,#RIP RT @s_favereaux: Pas bien !!! #Carambar remplace ses blagues par des exercices ludo-éducatifs http://bit.ly/11ko3cr  via @Golem_13,
@Torped00,10:11 - 21 mars 2013,#Carambar encore: Maman tu peux me faire une queue de cheval ? - Ils sont trop courts ! - Et bien fais-moi une queue de poney alors !,
@Torped00,10:11 - 21 mars 2013,@FougeresMichele et pouyrtant c'est une vrai #Carambar :) tout bien et toi chere Michelle?,
@imbertp,10:11 - 21 mars 2013,#Carambar annonce la fin de ses blagues ! http://partage.tele-loisirs.fr/?action=news&id=38752&title=Carambar%20annonce%20la%20fin%20de%20ses%20blagues%20!&date=1363882020&url=http://www.programme-tv.net/news/buzz/38752-carambar-annonce-fin-ses-blagues/&image=http://static.programme-tv.net/var/actualites-tele-large/3/38752-carambar-annonce-fin-ses-blagues.jpg?2105 …,
@clrdo,10:10 - 21 mars 2013,Les blagues #Carambar c'est terminé ! http://www.midilibre.fr/2013/03/21/les-blagues-carambar-c-est-fini663851.php … #marketing,
@marionlatard,10:09 - 21 mars 2013,La fin des blagues #Carambar annoncée pour le 15 avril 2013 http://huff.to/14a6FLy  via @LeHuffPost,
@s_favereaux,10:09 - 21 mars 2013,Pas bien !!! #Carambar remplace ses blagues par des exercices ludo-éducatifs http://bit.ly/11ko3cr  via @Golem_13,
@akiracriket,10:08 - 21 mars 2013,@LeNouvelObs: Arrêtez tout ! #Carambar abandonnerait ses célèbres blagues >> http://bit.ly/162Nguu  #alloquoi nonn @cptnico,
@Torped00,10:08 - 21 mars 2013,On va pas s'arreter en si bon chemin!! Qu'est-ce qu'un squelette dans une armoire ? C'est quelqu'un qui a gagné à cache-cache. #Carambar,
@Aaalexandre_,10:07 - 21 mars 2013,: Bientôt la fin des blagues #Carambar qui vivent leurs derniers jours! Ça fera de la concurrence en moins pour moi.. aha,
@Torped00,10:06 - 21 mars 2013,c'etait ca aussi #Carambar: - Tu connais l'histoire de la feuille de papier ? - Non. - Elle déchire !,
@Tyfn_B,10:05 - 21 mars 2013,Carambar tourne une page de son histoire et remplace ses blagues par des exercices ludo-éducatifs http://bit.ly/11ko3cr  #Carambar,
@mvittua,10:05 - 21 mars 2013,La nouvelle triste du jour #carambar http://ow.ly/ji7gc ,
@loicgdl,10:05 - 21 mars 2013,La nouvelle triste du jour #carambar http://ow.ly/1TOsNU ,
@46ruedemalville,10:05 - 21 mars 2013,#buzz #carambar pour le 1er avril ils pensaient la mettre profond à tout le monde mais #OnSenFout,
@kipzolie,10:05 - 21 mars 2013,“@LeNouvelObs: Arrêtez tout ! #Carambar abandonnerait ses célèbres blagues ; http://bit.ly/162Nguu  Trop de concurrence avec Hollande..',
@Minium2010,10:05 - 21 mars 2013,Tout à fait à mon niveau :-) RT @quibuzzqui: Hommage à #Carambar http://yfrog.com/obx8fup ,
@myBOXSONS,10:04 - 21 mars 2013,Trop de concurrence sur #Twitter #Carambar arrête les #blagues !!! http://goo.gl/fTV8P ,
@MathieuHANY,10:04 - 21 mars 2013,Les blagues de #Carambar vont mourir  Cadbury les remplace par de la culture G. Moins fun !!! http://bit.ly/WGHID9 ,
@Torped00,10:04 - 21 mars 2013,Celle ci a bercé mon enfance. Comment on appelle un ascenseur au Japon? En appuyant sur le bouton... Merci #Carambar,
@clauer,10:04 - 21 mars 2013,.@BFMTV Le 1er avril approche ? Ou pas... #Carambar,
@HellMd,10:04 - 21 mars 2013,La blague de 1er avril de #Carambar est vraiment bien foutue. Communiqués de presse sérieux et assez en avance pour leurrer. Bien joué.,
@Patafo1n,10:03 - 21 mars 2013,@FabienLelion Et Lundi c'est Toto qui va à Pôle Emploi #Carambar,
@Solenn_C,10:03 - 21 mars 2013,La fin d'une #légende. La fin d'une belle #histoire @BFMTV: Les #blagues #Carambar vivent leurs derniers jours http://bit.ly/11kTkfb ,
@KikxMachine,10:03 - 21 mars 2013,Fini les blagues #carambar quel dommage :) http://www.bfmtv.com/societe/blagues-carambar-vivent-leurs-derniers-jours-475696.html …,
@GoldenbergD,10:03 - 21 mars 2013,J'appelle au boycotte de #carambar Pas de blague pas de caramel qui col au dents,
@dahduhdah,10:03 - 21 mars 2013,#Carambar amonce la fin des blagues dans les emballages. Ça sent le gros coup de com' ou la fin d'un monde. Je me sens orphelin.,
@Midilibre,10:02 - 21 mars 2013,Les blagues #Carambar c'est fini à partir du 15 avril ! http://www.midilibre.fr/2013/03/21/les-blagues-carambar-c-est-fini663851.php … via @midilibre,
@Kartman27,10:02 - 21 mars 2013,“@7sur7: Abracarambar les blagues vont disparaître des #Carambar http://fb.me/CGjJUEGs ” Tout disparaît,
@46ruedemalville,10:02 - 21 mars 2013,#carambar arrête les blagues! Non put1 j'allais proposer qu'ils mettent D images a la place il est pas drôle lui? pic.twitter.com/6FupG7UjqI,
@PrincessSadika,10:02 - 21 mars 2013,Hey ouiii les blagues #carambar c'est fini,
@gaellemichineau,10:01 - 21 mars 2013,Les blagues #Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … via @la_Parisienne_,
@cic,23:00 - 27 déc. 2018,Vous cherchez un cadre professionnel épanouissant pour développer votre potentiel ? Le CIC recrute cette année 2 000 collaborateurs. Rdv sur https://goo.gl/LExAiC  #CIC_entreprendresonjobpic.twitter.com/MTl7dWYnjd,
@bendauboin,10:01 - 21 mars 2013,Les blagues Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … #bonbons #carambar #blagues #humour #lol #marrant,
@brainsto,10:01 - 21 mars 2013,Tiens pour l'occasion voici tout plein de blagues #Carambar ! http://ow.ly/ji6Da  Ne me dis pas merci Twitter c'est tout naturel.,
@7sur7,10:01 - 21 mars 2013,Abracarambar les blagues vont disparaître des #Carambar http://fb.me/CGjJUEGs ,
@SebMarcelle,10:01 - 21 mars 2013,@IziaMusic Pour sauver les blagues #Carambar: http://on.fb.me/102Br3t ,
@Insitaction,10:00 - 21 mars 2013,#Carambar : si ils arrêtent aussi les Atomic je ne réponds plus de rien à l'agence,
@Larbi_Tranculay,10:00 - 21 mars 2013,#UnCarambarSansBlagueCestComme IDF1 sans @ch_carriere #carambar,
@SybilePenhirin,09:59 - 21 mars 2013,Les blagues #Carambar c'est bientôt fini...à la place de la culture gé! beaucoup moins #drôle ..http://bit.ly/WGHID9 ,
@fgu75,09:59 - 21 mars 2013,#nonmaisalloquoi c'est comme si j'ouvrais un #carambar et qu'il n'y avait plus de blague! #allo !,
@133gamer,09:58 - 21 mars 2013,La fin des blague #Carambar tout un symbole... http://bit.ly/13faboI ,
@marionsouzeau,09:58 - 21 mars 2013,Et là c'est le drame... Les blagues #Carambar c'est fini ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … via @la_Parisienne_,
@MissTravel91,09:58 - 21 mars 2013,Les blagues #Carambar c'est fini ! http://dlvr.it/36dlv6 ,
@alexandra_denat,09:57 - 21 mars 2013,Sérieux ?! RT @ComestibleFR Carambar arrête ses blagues nous on trouve ça audacieux ! http://www.comestible.fr/2013/03/21/carambar-cest-du-serieux-fini-les-blagues-dans-les-bonbons/ … … #carambar @Carambar_France,
@hellpenalty,09:57 - 21 mars 2013,Non à la suppression des #blagues #carambar !!! FUCK !,
@Sparta_Gus,09:56 - 21 mars 2013,#Carambar arrête les blagues pour des exercice ludo-éducatif. La marque vient de signé son arrêt de mort #LaFinDunMythe,
@FabienLelion,09:55 - 21 mars 2013,Des entreprises vont bientôt recevoir des CV avec comme expérience Ancien rédacteur de blagues Carambar http://bit.ly/102MMR6  #Carambar,
